keV	cps	count
 9.553	   0.095	      12
 9.573	   0.103	      13
 9.593	   0.087	      11
 9.613	   0.103	      13
 9.633	   0.135	      17
 9.653	   0.142	      18
 9.673	   0.047	       6
 9.693	   0.079	      10
 9.713	   0.079	      10
 9.733	   0.095	      12
 9.753	   0.063	       8
 9.773	   0.087	      11
 9.793	   0.087	      11
 9.813	   0.063	       8
 9.833	   0.047	       6
 9.853	   0.095	      12
 9.873	   0.103	      13
 9.893	   0.103	      13
 9.913	   0.119	      15
 9.933	   0.047	       6
 9.953	   0.063	       8
 9.973	   0.063	       8
 9.993	   0.079	      10
10.013	   0.047	       6
10.033	   0.095	      12
10.054	   0.095	      12
10.074	   0.063	       8
10.094	   0.079	      10
10.114	   0.063	       8
10.134	   0.095	      12
10.154	   0.071	       9
10.174	   0.103	      13
10.194	   0.119	      15
10.214	   0.095	      12
10.234	   0.040	       5
10.254	   0.063	       8
10.274	   0.055	       7
10.294	   0.040	       5
10.314	   0.079	      10
10.334	   0.079	      10
10.354	   0.071	       9
10.374	   0.103	      13
10.394	   0.032	       4
10.414	   0.127	      16
10.434	   0.063	       8
10.454	   0.071	       9
10.474	   0.103	      13
10.494	   0.198	      25
10.514	   0.119	      15
10.534	   0.150	      19
10.554	   0.119	      15
10.574	   0.127	      16
10.594	   0.079	      10
10.614	   0.071	       9
10.634	   0.095	      12
10.654	   0.079	      10
10.674	   0.111	      14
10.694	   0.135	      17
10.714	   0.103	      13
10.734	   0.095	      12
10.754	   0.087	      11
10.774	   0.103	      13
10.794	   0.040	       5
10.814	   0.087	      11
10.834	   0.095	      12
10.854	   0.063	       8
10.874	   0.071	       9
10.894	   0.111	      14
10.914	   0.103	      13
10.934	   0.087	      11
10.954	   0.071	       9
10.974	   0.071	       9
10.994	   0.040	       5
11.014	   0.047	       6
11.034	   0.055	       7
11.054	   0.024	       3
11.074	   0.095	      12
11.094	   0.032	       4
11.114	   0.047	       6
11.134	   0.040	       5
11.154	   0.063	       8
11.174	   0.047	       6
11.194	   0.071	       9
11.214	   0.040	       5
11.234	   0.047	       6
11.254	   0.055	       7
11.274	   0.016	       2
11.294	   0.032	       4
11.314	   0.047	       6
11.334	   0.024	       3
11.354	   0.032	       4
11.374	   0.040	       5
11.394	   0.008	       1
11.414	   0.047	       6
11.434	   0.016	       2
11.454	   0.047	       6
11.474	   0.040	       5
11.494	   0.024	       3
11.514	   0.024	       3
11.534	   0.055	       7
11.554	   0.032	       4
11.574	   0.071	       9
11.594	   0.032	       4
11.614	   0.040	       5
11.634	   0.016	       2
11.654	   0.047	       6
11.674	   0.047	       6
11.694	   0.032	       4
11.714	   0.047	       6
11.734	   0.040	       5
11.754	   0.047	       6
11.774	   0.047	       6
11.794	   0.032	       4
11.814	   0.055	       7
11.834	   0.087	      11
11.854	   0.024	       3
11.874	   0.000	       0
11.894	   0.055	       7
11.914	   0.032	       4
11.934	   0.024	       3
11.954	   0.016	       2
11.974	   0.032	       4
11.994	   0.055	       7
12.014	   0.024	       3
12.034	   0.040	       5
12.054	   0.032	       4
12.074	   0.032	       4
12.094	   0.032	       4
12.114	   0.032	       4
12.134	   0.047	       6
12.154	   0.016	       2
12.174	   0.047	       6
12.194	   0.016	       2
12.214	   0.032	       4
12.234	   0.024	       3
12.254	   0.040	       5
12.274	   0.055	       7
12.294	   0.024	       3
12.314	   0.047	       6
12.334	   0.016	       2
12.354	   0.016	       2
12.374	   0.047	       6
12.395	   0.040	       5
12.415	   0.055	       7
12.435	   0.040	       5
12.455	   0.016	       2
12.475	   0.016	       2
12.495	   0.047	       6
12.515	   0.024	       3
12.535	   0.024	       3
12.555	   0.063	       8
12.575	   0.040	       5
12.595	   0.040	       5
12.615	   0.024	       3
12.635	   0.047	       6
12.655	   0.055	       7
12.675	   0.032	       4
12.695	   0.095	      12
12.715	   0.008	       1
12.735	   0.055	       7
12.755	   0.055	       7
12.775	   0.079	      10
12.795	   0.047	       6
12.815	   0.016	       2
12.835	   0.032	       4
12.855	   0.016	       2
12.875	   0.047	       6
12.895	   0.016	       2
12.915	   0.040	       5
12.935	   0.040	       5
12.955	   0.040	       5
12.975	   0.016	       2
12.995	   0.024	       3
13.015	   0.055	       7
13.035	   0.000	       0
13.055	   0.047	       6
13.075	   0.032	       4
13.095	   0.008	       1
13.115	   0.024	       3
13.135	   0.016	       2
13.155	   0.024	       3
13.175	   0.024	       3
13.195	   0.040	       5
13.215	   0.040	       5
13.235	   0.040	       5
13.255	   0.024	       3
13.275	   0.047	       6
13.295	   0.032	       4
13.315	   0.008	       1
13.335	   0.024	       3
13.355	   0.032	       4
13.375	   0.016	       2
13.395	   0.016	       2
13.415	   0.024	       3
13.435	   0.024	       3
13.455	   0.024	       3
13.475	   0.032	       4
13.495	   0.024	       3
13.515	   0.024	       3
13.535	   0.008	       1
13.555	   0.024	       3
13.575	   0.024	       3
13.595	   0.032	       4
13.615	   0.008	       1
13.635	   0.016	       2
13.655	   0.016	       2
13.675	   0.047	       6
13.695	   0.000	       0
13.715	   0.024	       3
13.735	   0.008	       1
13.755	   0.024	       3
13.775	   0.016	       2
13.795	   0.032	       4
13.815	   0.032	       4
13.835	   0.008	       1
13.855	   0.024	       3
13.875	   0.024	       3
13.895	   0.047	       6
13.915	   0.008	       1
13.935	   0.008	       1
13.955	   0.016	       2
13.975	   0.047	       6
13.995	   0.016	       2
14.015	   0.016	       2
14.035	   0.040	       5
14.055	   0.032	       4
14.075	   0.040	       5
14.095	   0.032	       4
14.115	   0.079	      10
14.135	   0.024	       3
14.155	   0.016	       2
14.175	   0.079	      10
14.195	   0.087	      11
14.215	   0.071	       9
14.235	   0.063	       8
14.255	   0.127	      16
14.275	   0.198	      25
14.295	   0.142	      18
14.315	   0.237	      30
14.335	   0.285	      36
14.355	   0.214	      27
