keV	cps	count
17.117	   0.594	      74
17.137	   0.698	      87
17.157	   1.027	     128
17.177	   1.067	     133
17.197	   1.340	     167
17.217	   1.749	     218
17.237	   2.319	     289
17.257	   2.881	     359
17.277	   3.226	     402
17.297	   3.708	     462
17.317	   3.980	     496
17.337	   4.719	     588
17.357	   5.152	     642
17.377	   5.521	     688
17.397	   5.529	     689
17.417	   6.300	     785
17.437	   5.963	     743
17.457	   6.019	     750
17.477	   6.235	     777
17.497	   6.308	     786
17.517	   5.505	     686
17.537	   5.248	     654
17.557	   5.048	     629
17.577	   4.614	     575
17.597	   3.852	     480
17.617	   3.443	     429
17.637	   3.001	     374
17.657	   2.720	     339
17.677	   2.151	     268
17.697	   1.605	     200
17.717	   1.212	     151
17.737	   1.067	     133
17.757	   0.995	     124
17.777	   0.666	      83
17.797	   0.586	      73
17.817	   0.594	      74
17.837	   0.546	      68
17.857	   0.433	      54
17.877	   0.401	      50
17.897	   0.337	      42
17.917	   0.385	      48
17.937	   0.433	      54
17.957	   0.401	      50
17.977	   0.337	      42
17.997	   0.345	      43
18.017	   0.417	      52
18.037	   0.321	      40
18.057	   0.353	      44
18.077	   0.377	      47
18.097	   0.353	      44
18.117	   0.321	      40
18.137	   0.433	      54
18.157	   0.361	      45
18.177	   0.345	      43
18.197	   0.425	      53
18.217	   0.490	      61
18.237	   0.377	      47
18.257	   0.482	      60
18.277	   0.441	      55
18.297	   0.473	      59
18.317	   0.530	      66
18.337	   0.441	      55
18.357	   0.626	      78
18.377	   0.610	      76
18.397	   0.578	      72
18.417	   0.498	      62
18.437	   0.626	      78
18.457	   0.586	      73
18.477	   0.506	      63
18.497	   0.634	      79
18.517	   0.722	      90
18.537	   0.746	      93
18.557	   0.794	      99
18.577	   0.738	      92
18.597	   0.794	      99
18.617	   0.803	     100
18.637	   0.794	      99
18.657	   0.947	     118
18.677	   0.843	     105
18.697	   0.979	     122
18.717	   0.915	     114
18.737	   0.987	     123
18.757	   0.987	     123
18.777	   0.923	     115
18.797	   1.059	     132
18.817	   1.124	     140
18.837	   1.011	     126
18.857	   1.091	     136
18.877	   1.276	     159
18.897	   1.172	     146
18.917	   1.156	     144
18.937	   1.188	     148
18.957	   1.244	     155
18.977	   1.132	     141
18.997	   1.252	     156
19.017	   1.332	     166
19.037	   1.260	     157
19.057	   1.244	     155
19.077	   1.148	     143
19.097	   1.244	     155
19.117	   1.180	     147
19.137	   1.220	     152
19.157	   1.204	     150
19.177	   1.132	     141
19.197	   0.939	     117
19.217	   1.164	     145
19.237	   1.115	     139
19.257	   1.220	     152
19.277	   1.180	     147
19.297	   0.971	     121
19.317	   1.019	     127
19.337	   1.204	     150
19.357	   1.268	     158
19.377	   1.148	     143
19.397	   1.099	     137
19.418	   1.075	     134
19.438	   1.132	     141
19.458	   1.244	     155
19.478	   1.404	     175
19.498	   1.412	     176
19.518	   1.404	     175
19.538	   1.356	     169
19.558	   1.509	     188
19.578	   1.581	     197
19.598	   1.565	     195
19.618	   1.517	     189
19.638	   1.324	     165
19.658	   1.252	     156
19.678	   1.573	     196
19.698	   1.340	     167
19.718	   1.477	     184
19.738	   1.372	     171
19.758	   1.156	     144
19.778	   1.059	     132
19.798	   1.260	     157
19.818	   1.115	     139
19.838	   1.220	     152
19.858	   1.340	     167
19.878	   1.316	     164
19.898	   1.356	     169
19.918	   1.533	     191
19.938	   1.693	     211
19.958	   1.958	     244
19.978	   2.183	     272
19.998	   2.279	     284
20.018	   2.528	     315
20.038	   2.857	     356
20.058	   3.025	     377
20.078	   3.667	     457
20.098	   3.491	     435
20.118	   3.499	     436
20.138	   3.924	     489
20.158	   3.764	     469
20.178	   3.924	     489
20.198	   3.900	     486
20.218	   3.595	     448
20.238	   3.555	     443
20.258	   3.435	     428
20.278	   3.306	     412
20.298	   2.897	     361
20.318	   2.905	     362
20.338	   2.656	     331
20.358	   2.087	     260
20.378	   2.135	     266
20.398	   1.541	     192
20.418	   1.581	     197
20.438	   1.356	     169
20.458	   1.140	     142
20.478	   1.148	     143
20.498	   0.931	     116
20.518	   0.939	     117
20.538	   0.899	     112
20.558	   0.674	      84
20.578	   0.794	      99
20.598	   0.562	      70
20.618	   0.650	      81
20.638	   0.602	      75
20.658	   0.738	      92
20.678	   0.682	      85
20.698	   0.642	      80
20.718	   0.682	      85
20.738	   0.498	      62
20.758	   0.722	      90
20.778	   0.770	      96
20.798	   0.770	      96
20.818	   0.698	      87
20.838	   0.650	      81
20.858	   0.682	      85
20.878	   0.666	      83
20.898	   0.698	      87
20.918	   0.875	     109
20.938	   0.915	     114
20.958	   0.875	     109
20.978	   0.859	     107
20.998	   0.835	     104
21.018	   0.706	      88
21.038	   0.778	      97
21.058	   0.819	     102
